--- ddscat calc for FROM_FILE ---
83645
1.000   0.000   0.000
1.000   1.000   0.000
1.      1.      1.   
0.0   0.0   0.0
J     JX      JY      JZ    ICOMPX    ICOMPY   ICOMPZ
748    8    8    -18    1      1      1
749    -7    9    -18    1      1      1
750    -6    9    -18    1      1      1
751    -5    9    -18    1      1      1
752    -4    9    -18    1      1      1
753    -3    9    -18    1      1      1
754    -2    9    -18    1      1      1
755    -1    9    -18    1      1      1
756    0    9    -18    1      1      1
757    1    9    -18    1      1      1
758    2    9    -18    1      1      1
759    3    9    -18    1      1      1
760    4    9    -18    1      1      1
761    5    9    -18    1      1      1
762    6    9    -18    1      1      1
763    7    9    -18    1      1      1
764    -7    10    -18    1      1      1
765    -6    10    -18    1      1      1
766    -5    10    -18    1      1      1
767    -4    10    -18    1      1      1
768    -3    10    -18    1      1      1
769    -2    10    -18    1      1      1
770    -1    10    -18    1      1      1
771    0    10    -18    1      1      1
772    1    10    -18    1      1      1
773    2    10    -18    1      1      1
774    3    10    -18    1      1      1
775    4    10    -18    1      1      1
776    5    10    -18    1      1      1
777    6    10    -18    1      1      1
778    7    10    -18    1      1      1
779    -7    11    -18    1      1      1
780    -6    11    -18    1      1      1
781    -5    11    -18    1      1      1
782    -4    11    -18    1      1      1
783    -3    11    -18    1      1      1
784    -2    11    -18    1      1      1
785    -1    11    -18    1      1      1
786    0    11    -18    1      1      1
787    1    11    -18    1      1      1
788    2    11    -18    1      1      1
789    3    11    -18    1      1      1
790    4    11    -18    1      1      1
791    5    11    -18    1      1      1
792    6    11    -18    1      1      1
793    7    11    -18    1      1      1
794    -7    12    -18    1      1      1
795    -6    12    -18    1      1      1
796    -5    12    -18    1      1      1
797    -4    12    -18    1      1      1
798    -3    12    -18    1      1      1
799    -2    12    -18    1      1      1
800    -1    12    -18    1      1      1
801    0    12    -18    1      1      1
802    1    12    -18    1      1      1
803    2    12    -18    1      1      1
804    3    12    -18    1      1      1
805    4    12    -18    1      1      1
806    5    12    -18    1      1      1
807    6    12    -18    1      1      1
808    7    12    -18    1      1      1
809    -6    13    -18    1      1      1
810    -5    13    -18    1      1      1
811    -4    13    -18    1      1      1
812    -3    13    -18    1      1      1
813    -2    13    -18    1      1      1
814    -1    13    -18    1      1      1
815    0    13    -18    1      1      1
816    1    13    -18    1      1      1
817    2    13    -18    1      1      1
818    3    13    -18    1      1      1
819    4    13    -18    1      1      1
820    5    13    -18    1      1      1
821    6    13    -18    1      1      1
822    -6    14    -18    1      1      1
823    -5    14    -18    1      1      1
824    -4    14    -18    1      1      1
825    -3    14    -18    1      1      1
826    -2    14    -18    1      1      1
827    -1    14    -18    1      1      1
828    0    14    -18    1      1      1
829    1    14    -18    1      1      1
830    2    14    -18    1      1      1
831    3    14    -18    1      1      1
832    4    14    -18    1      1      1
833    5    14    -18    1      1      1
834    6    14    -18    1      1      1
835    -6    15    -18    1      1      1
836    -5    15    -18    1      1      1
837    -4    15    -18    1      1      1
838    -3    15    -18    1      1      1
839    -2    15    -18    1      1      1
840    -1    15    -18    1      1      1
841    0    15    -18    1      1      1
842    1    15    -18    1      1      1
843    2    15    -18    1      1      1
844    3    15    -18    1      1      1
